Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,8662231,0,0.00,0,0.00,10.22,8547301,114930
VXX,4934607,0,0.00,0,0.00,16.37,4884011,50596
ARKG,1669876,0,0.00,0,0.00,106.67,1624869,45007
IEFA,1069210,0,0.00,0,0.00,71.75,1058387,10823
VIXY,956135,0,0.00,0,0.00,13.45,943147,12988
ITB,841258,0,0.00,0,0.00,55.37,822051,19207
RSX,656831,0,0.00,0,0.00,25.75,617200,39631
GOVT,572087,0,0.00,0,0.00,27.05,570171,1916
INDA,566569,0,0.00,0,0.00,41.99,555763,10806
SVXY,528052,0,0.00,0,0.00,41.80,525129,2923
EZU,499451,0,0.00,0,0.00,45.80,490032,9419
USMV,494388,0,0.00,0,0.00,68.38,491437,2951
ARKQ,394692,0,0.00,0,0.00,86.25,387318,7374
MTUM,326264,0,0.00,0,0.00,167.96,325514,750
CBOE,290868,0,0.00,0,0.00,98.81,290469,399
PAVE,240745,0,0.00,0,0.00,22.76,236161,4584
USHY,237951,0,0.00,0,0.00,41.29,237813,138
EFV,190514,0,0.00,0,0.00,49.47,190414,100
IGV,172071,0,0.00,0,0.00,355.13,171085,986
REM,161411,0,0.00,0,0.00,31.70,138163,23248
ACWV,151545,0,0.00,0,0.00,98.02,144614,6931
SLVP,148102,0,0.00,0,0.00,17.22,147929,173
QUAL,140519,0,0.00,0,0.00,117.22,140119,400
JPST,129535,0,0.00,0,0.00,50.78,129437,98
IFRA,121443,0,0.00,0,0.00,31.95,119926,1517
IDV,119468,0,0.00,0,0.00,31.35,117856,1612
VLUE,109652,0,0.00,0,0.00,90.22,108744,908
VNM,104993,0,0.00,0,0.00,18.42,104710,283
EFAV,95193,0,0.00,0,0.00,74.68,95155,38
NOBL,90819,0,0.00,0,0.00,81.30,90263,556
ECH,84199,0,0.00,0,0.00,32.48,83909,290
PRNT,78139,0,0.00,0,0.00,37.50,76964,1175
IGE,68120,0,0.00,0,0.00,25.03,67420,700
BBJP,67174,0,0.00,0,0.00,28.68,66577,597
HEFA,59413,0,0.00,0,0.00,31.65,55813,3600
BBAX,54104,0,0.00,0,0.00,28.18,49937,4167
BBUS,53753,0,0.00,0,0.00,70.23,14761,38992
BBEU,53139,0,0.00,0,0.00,27.33,49507,3632
HYD,50755,0,0.00,0,0.00,61.99,47876,2879
EPRF,50249,0,0.00,0,0.00,24.20,50248,1
ESGV,49143,0,0.00,0,0.00,71.80,46530,2613
ITA,48582,0,0.00,0,0.00,93.32,47200,1382
FLOT,46304,0,0.00,0,0.00,50.78,45904,400
ACES,43567,0,0.00,0,0.00,95.98,43124,443
FBCG,40347,0,0.00,0,0.00,29.46,40347,0
FDEC,38657,0,0.00,0,0.00,30.97,38657,0
CNYA,36657,0,0.00,0,0.00,45.47,30707,5950
PTLC,36563,0,0.00,0,0.00,33.34,36563,0
PICK,36520,0,0.00,0,0.00,41.21,36429,91
EFG,36494,0,0.00,0,0.00,103.52,36494,0
MOAT,31741,0,0.00,0,0.00,63.93,29618,2123
DFEB,31567,0,0.00,0,0.00,32.44,31567,0
BBCA,29408,0,0.00,0,0.00,27.91,28937,471
EEMV,29270,0,0.00,0,0.00,63.44,28714,556
ICSH,26027,0,0.00,0,0.00,50.53,24027,2000
IYZ,25057,0,0.00,0,0.00,31.11,23463,1594
OGIG,24644,0,0.00,0,0.00,56.18,24594,50
IYJ,24127,0,0.00,0,0.00,99.11,24127,0
PAWZ,23955,0,0.00,0,0.00,75.00,15985,7970
NEAR,23739,0,0.00,0,0.00,50.17,20974,2765
